,Song,Artist,Album,artist_trunc,search_term,lyrics_raw
10,Starboy,The Weeknd featuring Daft Punk,Starboy,The Weeknd,Starboy The Weeknd,"[Verse 1]
I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb’ just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch out your league too, ah
Side bitch out of your league too, ah

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I’m a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy

[Verse 2]
Every day a nigga try to test me, ah
Every day a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Coming for the king, that's a far cry, ah
I come alive in the fall time, I
No competition, I don't really listen
I’m in the blue Mulsanne bumping New Edition

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking bout me, I don’t see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I’m a motherfuckin' starboy
Look what you've done
I'm a motherfuckin’ starboy

[Verse 3]
Let a nigga brag Pitt
Legend of the fall took the year like a bandit
Bought mama a crib and a brand new wagon
Now she hit the grocery shop looking lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
100 on the dash get me close to God
We don't pray for love, we just pray for cars

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy"
11,Let Me Love You,DJ Snake featuring Justin Bieber,Encore,DJ Snake,Let Me Love You DJ Snake,"[Verse 1: Justin Bieber]
I used to believe
We were burnin' on the edge of somethin' beautiful
Somethin' beautiful
Sellin' a dream
Smoke and mirrors keep us waitin' on a miracle
On a miracle

[Pre-Chorus: Justin Bieber]
Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

[Chorus: Justin Bieber]
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby

[Breakdown: DJ Snake]

[Verse 2: Justin Bieber]
Don't fall asleep
At the wheel, we've got a million miles ahead of us
Miles ahead of us
All that we need
Is a rude awakening to know we're good enough yeah
Know we're good enough

[Pre-Chorus: Justin Bieber]
Say go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

[Chorus: Justin Bieber]
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby

[Breakdown: DJ Snake]

[Chorus: Justin Bieber]
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby"
12,rockstar,Post Malone featuring 21 Savage,Non-album single,Post Malone,rockstar Post Malone,"[Intro: Post Malone]
Hahahahaha
Tank God
Ayy, ayy

[Chorus: Post Malone]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (ta, pow, pow, pow, ayy, ayy)

[Verse 1: Post Malone]
Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (yeah, ayy, ayy, ayy)

[Chorus: Post Malone]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (ta, pow, pow, pow)

[Verse 2: 21 Savage]
I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (yeah, yeah, yeah)
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (kiss that?)
Your wifey say I'm lookin' like a whole snack (big snack)
Green hundreds in my safe, I got old racks (old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (ayy)

[Chorus: Post Malone & 21 Savage]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (ta, grrra-ta-ta-ta-ta)

[Outro: Post Malone]
Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a rock...
Rockstar
Rockstar
Rockstar
Feel just like a..."
13,What Do You Mean?,Justin Bieber,Purpose,Justin Bieber,What Do You Mean? Justin Bieber,"[Intro]

[Chorus]
What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-ey
When you don't want me to move
But you tell me to go
What do you mean?
Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

[Verse 1]
You’re so indecisive, what I’m saying
Tryna catch the beat, make up your heart
Don't know if you're happy or complaining
Don't want for us to end, where do I start?

[Pre-Chorus]
First you wanna go to the left then you wanna turn right
Wanna argue all day, make love all night
First you're up, then you’re down and then between
Oh, I really want to know…

[Chorus]
What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-ey
When you don't want me to move
But you tell me to go
What do you mean?
Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

[Verse 2]
You’re overprotective when I’m leaving
Trying to compromise but I can’t win
You want to make a point, but you keep preaching
You had me from the start, won't let this end

[Pre-Chorus]
First you wanna go to the left then you wanna turn right
Wanna argue all day, make love all night
First you're up, then you’re down and then between
Oh, I really want to know…

[Chorus]
What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-ey
When you don't want me to move
But you tell me to go
What do you mean?
(I wanna know)
Oh, what do you mean? (Ooh)
Said you're running out of time, what do you mean?
(Oh baby)
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

[Outro]
Oh, oh
(This is ours baby, yeah)
When you nod your head yes
But you wanna say no
What do you mean? Hey-ey
(You're so confusing baby)
When you don't want me to move
But you tell me to go
What do you mean?
(Be more straight forward)
Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

[Music Video]
[Lyric Video]
[Produced by Justin Bieber & MdL]"
14,Cold Water,Major Lazer featuring Justin Bieber and M,Non-album single,Major Lazer,Cold Water Major Lazer,"[Verse 1: Justin Bieber]
Everybody gets high sometimes, you know
What else can we do when we're feelin' low?
So take a deep breath and let it go
You shouldn't be drowning on your own

[Pre-Chorus: Justin Bieber]
And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know...

[Chorus: Justin Bieber]
I won't let go
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight

[Verse 2: Justin Bieber]
'Cause we all get lost sometimes, you know?
It's how we learn and how we grow
And I wanna lay with you 'til I'm old, oh-oh
You shouldn't be fighting on your own

[Pre-Chorus: Justin Bieber]
And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know...

[Chorus: Justin Bieber]
I won't let go
And I won't let go, no-no, no-no, no I won't
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight

[Bridge: MØ]
Come on, come on
Save me from my rocking boat
I just wanna stay afloat
I'm all alone
And I hope, I hope someone's gonna take me home
Somewhere I can rest my soul (rest my soul)
I need to know you won't let go

[Chorus: Justin Bieber & MØ]
And I won't let go, no-no, no-no, no, I won't
I'll be your lifeline tonight
You won't let go
I'll be your lifeline tonight

[Outro: Justin Bieber]
I won't let go, no no, no no, no, I won't
I'll be your lifeline tonight
You won't let go
I'll be your lifeline tonight"
15,Photograph,Ed Sheeran,x,Ed Sheeran,Photograph Ed Sheeran,"[Verse 1]
Loving can hurt, loving can hurt sometimes
But it's the only thing that I know
When it gets hard, you know it can get hard sometimes
It's the only thing that makes us feel alive

[Pre-Chorus]
We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closing
Our hearts were never broken
And time's forever frozen, still

[Chorus 1]
So you can keep me
Inside the pocket of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone, wait for me to come home

[Verse 2]
Loving can heal, loving can mend your soul
And it's the only thing that I know
I swear it will get easier, remember that with every piece of ya
And it's the only thing to take with us when we die

[Pre-Chorus]
We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closing
Our hearts were never broken
And time's forever frozen, still

[Chorus 2]
So you can keep me
Inside the pocket of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone
And if you hurt me, that's okay baby
Only words bleed inside these pages
You just hold me
And I won’t ever let you go
Wait for me to come home
Wait for me to come home
Wait for me to come home
Wait for me to come home

[Bridge]
Oh you can fit me
Inside the necklace you got when you were sixteen
Next to your heartbeat where I should be
Keep it deep within your soul
And if you hurt me, that's okay baby
Only words bleed inside these pages
You just hold me
And I won’t ever let you go

[Outro]
When I'm away, I will remember how you kissed me
Under the lamppost back on Sixth street
Hearing you whisper through the phone
Wait for me to come home"
16,Cheap Thrills,Sia,This is Acting,Sia,Cheap Thrills Sia,"[Verse 1]
Come on, come on, turn the radio on
It's Friday night and I won't be long
Gotta do my hair, put my make up on
It's Friday night and I won't be long

[Pre-Chorus]
'Til I hit the dance floor
Hit the dance floor
I got all I need
No, I ain't got cash
I ain't got cash
But I got you baby

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Verse 2]
Come on, come on, turn the radio on
It's Saturday and I won't be long
Gotta paint my nails, put my high heels on
It's Saturday and I won't be long

[Pre-Chorus]
'Til I hit the dance floor
Hit the dance floor
I got all I need
No, I ain't got cash
I ain't got cash
But I got you baby

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Bridge]
(I love cheap thrills)
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
Oh, oh

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Outro]
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la
(I love cheap thrills)"
17,Stressed Out,Twenty One Pilots,Blurryface,Twenty One,Stressed Out Twenty One,"[Verse 1]
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sing
I was told, when I get older, all my fears would shrink
But now I'm insecure, and I care what people think

[Pre-Chorus]
My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out
We're stressed out

[Verse 2]
Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's coming from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, home grown, the stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and tree house homes, we all would take the latter

[Pre-Chorus]
My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out

[Bridge]
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Singin', ""wake up, you need to make money!"", yeah
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Singin', ""wake up, you need to make money!"", yeah

[Chorus]
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out
Wish we could turn back time
To the good old days
When our momma sang us to sleep but
Now we're stressed out

[Outro]
We used to play pretend, used to play pretend, bunny
We used to play pretend, wake up you need the money
Used to play pretend, used to play pretend, bunny
We used to play pretend, wake up you need the money
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""wake up, you need to make money!"", yeah"
18,Uptown Funk,Mark Ronson featuring Bruno Mars,Uptown Special,Mark Ronson,Uptown Funk Mark Ronson,"[Verse 1: Bruno Mars]
This hit, that ice cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces
Stylin', wilin'
Livin’ it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself I’m so pretty

[Pre-Chorus: Bruno Mars]
I’m too hot (hot damn)
Call the police and the fireman
I’m too hot (hot damn)
Make a dragon wanna retire man
I’m too hot (hot damn)
Say my name you know who I am
I’m too hot (hot damn)
And my band 'bout that money
Break it down

[Chorus: Bruno Mars]
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Cause Uptown funk gon’ give it to you
Cause Uptown funk gon’ give it to you
Cause Uptown funk gon’ give it to you
Saturday night and we in the spot
Don’t believe me, just watch (come on)
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Hey, hey, hey, oh!

[Verse 2: Bruno Mars]
Stop
Wait a minute
Fill my cup put some liquor in it
Take a sip, sign the check
Julio! Get the stretch!
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon’ show out
Smoother than a fresh jar of Skippy

[Pre-Chorus: Bruno Mars]
I’m too hot (hot damn)
Call the police and the fireman
I’m too hot (hot damn)
Make a dragon wanna retire man
I’m too hot (hot damn)
Bitch, say my name you know who I am!
I’m too hot (hot damn)
And my band 'bout that money
Break it down

[Chorus: Bruno Mars]
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Cause Uptown Funk gon’ give it to you
Cause Uptown Funk gon’ give it to you
Cause Uptown Funk gon’ give it to you
Saturday night and we in the spot
Don’t believe me, just watch (come on)
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Hey, hey, hey, oh!

[Bridge: Bruno Mars]
Before we leave
Lemme tell y’all a lil’ something
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up
I said Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up
Come on, dance
Jump on it
If you sexy then flaunt it
If you freaky then own it
Don’t brag about it, come show me
Come on, dance
Jump on it
If you sexy then flaunt it
Well it’s Saturday night and we in the spot

[Part-Chorus: Bruno Mars]
Don’t believe me, just watch (come on)
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Don’t believe me, just watch
Hey, hey, hey, oh!

[Outro: Bruno Mars]
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up"
19,Cheerleader (Felix Jaehn Remix),OMI,Me 4 U,OMI,Cheerleader (Felix Jaehn Remix) OMI,"[Verse 1]
When I need motivation
My one solution is my queen
'Cause she stay strong (yeah yeah)
She is always in my corner
Right there when I want her
All these other girls are tempting
But I'm empty when you're gone
And they say

[Pre-Chorus]
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
And I'm like no, not really cause

[Chorus]
Oh I think that I found myself a cheerleader
She is always right there when I need her
Oh I think that I found myself a cheerleader
She is always right there when I need her

[Verse 2]
She walks like a model
She grants my wishes like a genie in a bottle (yeah yeah)
Cause I'm the wizard of love
And I got the magic wand
All these other girls are tempting
But I'm empty when you're gone
And they say

[Pre-Chorus]
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
And I'm like no, not really cause

[Chorus]
Oh I think that I found myself a cheerleader
She is always right there when I need her
Oh I think that I found myself a cheerleader
She is always right there when I need her

[Verse 3]
She gives me love and affection
Baby did I mention, you're the only girl for me
No I don't need a next one
Mama loves you too, she thinks I made the right selection
Now all that's left to do
Is just for me to pop the question

[Chorus]
Oh I think that I found myself a cheerleader
She is always right there when I need her
Oh I think that I found myself a cheerleader
She is always right there when I need her"
20,7 Years,Lukas Graham,Lukas Graham,Lukas Graham,7 Years Lukas Graham,"[Chorus 1]
Once I was 7 years old my momma told me
Go make yourself some friends or you'll be lonely
Once I was 7 years old

[Verse 1]
It was a big big world, but we thought we were bigger
Pushing each other to the limits, we were learning quicker
By eleven smoking herb and drinking burning liquor
Never rich so we were out to make that steady figure

[Chorus 2]
Once I was 11 years old my daddy told me
Go get yourself a wife or you'll be lonely
Once I was 11 years old

[Verse 2]
I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about that glory just always seemed to bore me
Cause only those I really love will ever really know me

[Chorus 3]
Once I was 20 years old, my story got told
Before the morning sun, when life was lonely
Once I was 20 years old

(Lukas Graham!!!)

[Verse 3]
I only see my goals, I don't believe in failure
Cause I know the smallest voices, they can make it major
I got my boys with me at least those in favor
And if we don't meet before I leave, I hope I'll see you later

[Chorus 4]
Once I was 20 years old, my story got told
I was writing 'bout everything, I saw before me
Once I was 20 years old
Soon we'll be 30 years old, our songs have been sold
We've traveled around the world and we're still roaming
Soon we'll be 30 years old

[Verse 4]
I'm still learning about life
My woman brought children for me
So I can sing them all my songs
And I can tell them stories
Most of my boys are with me
Some are still out seeking glory
And some I had to leave behind
My brother I'm still sorry

[Bridge]
Soon I'll be 60 years old, my daddy got 61
Remember life and then your life becomes a better one
I made a man so happy when I wrote a letter once
I hope my children come and visit, once or twice a month

[Chorus 5]
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can warm me
Soon I'll be 60 years old
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can hold me
Soon I'll be 60 years old

[Chorus 1 recap]
Once I was seven years old, my momma told me
Go make yourself some friends or you'll be lonely
Once I was seven years old

Once I was seven years old"
